Timestamp,Method,Url,ResourceType
2026-06-14T02:32:19.798Z,GET,"https://fonts.googleapis.com/css?family=Material+Icons+Extended|Google+Material+Icons|Google+Sans:400,500,700|Roboto:100,300,400,500|Roboto+Condensed|Open+Sans:300,400,600,700,800|Lato:400,300,300italic,400italic,700,700italic|Source+Code+Pro:400,700",stylesheet
2026-06-14T02:32:19.841Z,GET,https://www.gstatic.com/_/atari/_/ss/k=atari.ed.eivbbWFxGjY.L.W.O/am=CCCAJgAD/d=1/rs=AGEqA5l4KLwSrhHCDsH9bXVAIMfGOCO6KA,stylesheet
2026-06-14T02:32:19.966Z,GET,https://fonts.gstatic.com/s/sourcecodepro/v31/HI_diYsKILxRpg3hIP6sJ7fM7PqPMcMnZFqUwX28DMyQhMs.woff2,font
2026-06-14T02:32:19.992Z,GET,https://fonts.gstatic.com/s/sourcecodepro/v31/HI_jiYsKILxRpg3hIP6sJ7fM7PqlOPHYvDP_W9O7GQTTbI1rTA.woff2,font
2026-06-14T02:32:19.996Z,GET,https://fonts.gstatic.com/s/sourcecodepro/v31/HI_diYsKILxRpg3hIP6sJ7fM7PqPMcMnZFqUwX28DCuXhMs.woff2,font
2026-06-14T02:32:19.998Z,GET,https://fonts.gstatic.com/s/sourcecodepro/v31/HI_jiYsKILxRpg3hIP6sJ7fM7PqlOPHYvDP_W9O7GQTTi4prTA.woff2,font
2026-06-14T02:32:20.028Z,GET,https://www.gstatic.com/images/branding/productlogos/sites_2026/v2/web-96dp/logo_sites_2026_color_1x_web_96dp.png,image
2026-06-14T02:32:20.067Z,GET,https://fonts.gstatic.com/s/ebgaramond/v32/SlGDmQSNjdsmc35JDF1K5E55YMjF_7DPuGi-6_RUBg.woff2,font
2026-06-14T02:32:20.091Z,GET,https://apis.google.com/js/client.js?onload=gapiLoaded,script
2026-06-14T02:32:20.097Z,GET,https://fonts.gstatic.com/s/ebgaramond/v32/SlGFmQSNjdsmc35JDF1K5GRwUjcdlttVFm-rI7e8QI9_.woff2,font
2026-06-14T02:32:20.106Z,GET,https://fonts.gstatic.com/s/inter/v20/UcCM3FwrK3iLTcvneQg7Ca725JhhKnNqk4j1ebLhAm8SrXTc2dthiA.woff2,font
2026-06-14T02:32:20.163Z,GET,https://fonts.gstatic.com/s/ebgaramond/v32/SlGFmQSNjdsmc35JDF1K5GRwUjcdlttVFm-rI7dbR49_.woff2,font
2026-06-14T02:32:20.170Z,GET,https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuFuYMZ0.woff2,font
2026-06-14T02:32:20.174Z,GET,https://fonts.gstatic.com/s/inter/v20/UcCM3FwrK3iLTcvneQg7Ca725JhhKnNqk4j1ebLhAm8SrXTcPtxhiA.woff2,font
2026-06-14T02:32:20.175Z,GET,https://fonts.gstatic.com/s/inter/v20/UcCO3FwrK3iLTeHuS_nVMrMxCp50SjIw2boKoduKmMEVuLyfMZ0.woff2,font
2026-06-14T02:32:20.175Z,GET,https://fonts.gstatic.com/s/ebgaramond/v32/SlGDmQSNjdsmc35JDF1K5E55YMjF_7DPuGi-DPNUBg.woff2,font
2026-06-14T02:32:20.186Z,GET,https://lh3.google.com/u/0/ogw/AF2bZyh3kXEgxcdf__M9zOGO1Q8ATciUAwZiJl4GTfhRm8L2BA=s32-c-mo,image
2026-06-14T02:32:20.186Z,GET,https://apis.google.com/_/scs/abc-static/_/js/k=gapi.lb.en.ch0Jz-JlMrQ.O/m=client/rt=j/sv=1/d=1/ed=1/rs=AHpOoo_YD4KoV8fTh_kLhktsiThAm3yJ5A/cb=gapi.loaded_0?le=scs,script
2026-06-14T02:32:20.272Z,GET,https://fonts.gstatic.com/s/roboto/v51/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBA.woff2,font
2026-06-14T02:32:20.272Z,GET,https://fonts.gstatic.com/s/googlesans/v69/4UasrENHsxJlGDuGo1OIlJfC6l_24rlCK1Yo_Iqcsih3SAyH6cAwhX9RPjIUvQ.woff2,font
